# Rime user dictionary
#@/db_name	terra_pinyin
#@/db_type	userdb
#@/rime_version	1.12.0
#@/tick	9469
#@/user_id	cd7a444b-bd10-4f36-b2f9-43f3afd34724
bu4 ying1 gai1 	不應該	c=1 d=0.67032 t=9469
bu4 yong4 	不用	c=16 d=3.33171 t=9469
bu4 yong4 tiao2 	不用調	c=1 d=0.955997 t=9469
bu4 yuan3 	不遠	c=1 d=0.29523 t=9469
bu4 zai4 	不在	c=1 d=0.909373 t=9469
bu4 zao4 	不躁	c=1 d=0.995012 t=9469
bu4 zhi1 	不知	c=1 d=0.00932553 t=9469
bu4 zhi1 dao4 	不知道	c=10 d=2.17939 t=9469
cai2 	才	c=11 d=2.50398 t=9469
cai2 hui4 	才會	c=4 d=1.80897 t=9469
cai2 liao4 	材料	c=18 d=2.80903 t=9469
cai2 neng2 	才能	c=9 d=1.99862 t=9469
cai2 neng2 gou4 	才能夠	c=1 d=0.733447 t=9469
cai2 shi4 	才是	c=4 d=1.43273 t=9469
cai2 you3 	才有	c=3 d=0.827923 t=9469
can1 	餐	c=2 d=1.47057 t=9469
can1 jia1 	參加	c=2 d=0.67718 t=9469
can1 kao3 	參考	c=2 d=0.164581 t=9469
can2 hai2 	殘骸	c=3 d=0.786628 t=9469
can2 xie3 	殘血	c=1 d=0.985112 t=9469
can3 	慘	c=1 d=0.918512 t=9469
cang2 	藏	c=2 d=0.629065 t=9469
cao2 	槽	c=5 d=2.36674 t=9469
cao3 	草	c=38 d=6.36448 t=9469
ce4 	測	c=2 d=1.91683 t=9469
ce4 guo4 	測過	c=1 d=0.937067 t=9469
ce4 wan2 	測玩	c=1 d=0.618783 t=9469
ceng2 	層	c=1 d=0.941765 t=9469
ceng2 ji2 	層級	c=1 d=0.869358 t=9469
ceng2 jing1 	曾經	c=1 d=0.618783 t=9469
cha1 	差	c=1 d=0.869358 t=9469
cha1 bie2 	差別	c=2 d=1.51325 t=9469
cha1 bu4 duo1 le5 	差不多了	c=1 d=0.822835 t=9469
cha2 	茶	c=1 d=1 t=9469
cha2 kan4 	查看	c=1 d=0.418952 t=9469
cha4 bu5 duo1 	差不多	c=2 d=0.854122 t=9469
cha4 dian3 	差點	c=1 d=0.771052 t=9469
chai1 	拆	c=3 d=0.855416 t=9469
chai1 li3 wu4 	拆禮物	c=1 d=0.65377 t=9469
chan3 sheng1 	產生	c=1 d=0.025223 t=9469
chang2 	長	c=1 d=0.444858 t=9469
chang2 an4 	長按	c=4 d=0.160463 t=9469
chang2 shi4 	嘗試	c=2 d=0.973475 t=9469
chang2 shi4 	常識	c=2 d=0.0167514 t=9469
chang2 tai4 	常態	c=1 d=0.965605 t=9469
chang3 	場	c=1 d=0.918512 t=9469
chang4 ge1 	唱歌	c=1 d=0.628135 t=9469
chao1 	抄	c=9 d=1.79603 t=9469
chao1 	超	c=24 d=2.64307 t=9469
chao1 duo1 	超多	c=2 d=0.892686 t=9469
chao1 gao1 	超高	c=1 d=0.946485 t=9469
